date;ES;FR;CH;SE;NO;AT;RO;FI;DE;SK;PT;IT;PL;HU;RS;SI;CZ;BG;ME;BA;HR;MK
2006-01-01;61.494906;24.622993;0.688248;1.351512;55.425221;0.017816;0.000000;0.099721;0.328865;0.000000;5.707143;1.528931;0.008412;0.000000;0.000000;0.007832;0.014181;0.000000;0.000000;0.001449;0.120976;0.000000
2006-01-02;62.697966;21.334314;5.199949;3.163611;115.606371;0.504217;0.000029;0.034423;6.574891;0.000000;6.030391;27.377942;0.457380;0.000000;0.000142;2.996254;0.084465;0.000000;0.031195;0.710296;10.239470;0.002302
2006-01-03;52.706568;15.040906;0.040306;4.500375;58.244632;0.063078;0.037500;0.169849;0.033311;0.000000;2.487099;4.033873;2.636042;0.000000;0.337399;0.811150;0.033891;0.027507;0.161119;1.606799;10.289797;0.284755
2006-01-04;2.763869;6.757993;0.446491;1.007189;16.587338;0.016930;0.008483;1.159679;0.114579;0.000000;0.535053;10.963961;0.437619;0.000000;0.601513;0.119179;0.003659;0.022662;0.207271;1.042102;7.774649;0.227747
2006-01-05;21.725886;1.548948;0.137998;3.084223;59.720330;0.022936;0.142296;0.068788;1.262937;0.000000;1.877630;4.920399;1.840406;0.000000;3.997397;0.183715;0.004229;1.422263;2.640345;3.899715;28.594677;2.623618
2006-01-06;17.021098;1.416422;0.120751;5.701378;111.514151;0.029209;0.404574;0.106631;2.657048;0.000000;0.453256;1.315918;4.352354;0.000000;1.794908;0.187221;0.055575;1.176410;1.676605;1.126844;7.636859;1.649488
2006-01-07;37.452413;3.077200;0.026625;1.116620;107.573927;0.035075;2.651042;0.272971;0.089406;0.000000;3.044794;2.390313;2.748893;0.000000;1.654231;4.289966;0.199602;0.746087;0.160982;1.122055;1.609270;0.182252
2006-01-08;47.609496;10.334042;0.024901;6.096638;65.634042;0.017595;0.685788;0.104745;0.014564;0.001890;3.145116;0.289206;0.516009;0.000000;1.338424;20.624597;0.126920;0.280776;0.269340;1.025650;0.207735;0.520669
2006-01-09;28.848835;31.864196;1.218958;2.087489;50.998088;0.024019;0.067646;1.376473;0.363158;0.004913;2.058212;1.440250;0.888668;0.000000;0.765346;7.103503;0.017275;0.139895;0.137775;0.509941;0.826263;0.210248
2006-01-10;153.903483;18.462611;0.513840;2.098604;26.520851;0.053167;0.029121;0.097959;3.391666;0.090936;16.527824;3.133206;0.092520;0.000000;1.123578;2.197793;0.012169;0.113826;0.230299;0.584112;0.805537;0.323502
2006-01-11;42.724252;97.833547;13.007212;3.245423;21.615447;0.636528;0.031146;0.151998;40.988266;0.043029;2.121906;42.738538;3.003085;0.000000;0.778522;5.299315;0.113317;0.178797;0.192624;4.024098;7.371626;0.056722
2006-01-12;60.402107;9.360395;0.454061;5.264187;32.868058;0.809403;0.015260;0.095057;8.498869;0.140649;7.909424;7.780483;7.508785;0.000000;1.845191;5.412551;0.587482;0.149698;1.631692;15.520949;35.693577;0.295689
2006-01-13;47.901784;14.130186;0.050424;1.692617;15.854582;0.117771;0.010988;0.657423;0.065172;0.274802;1.455714;3.029496;0.388101;0.000000;2.815758;1.987265;0.608653;0.342414;1.111876;5.229163;6.468112;1.714349
2006-01-14;48.851759;9.418574;0.259231;1.343417;11.224534;0.192316;0.021683;0.494997;0.097437;0.273815;4.524402;4.727478;1.040338;0.000000;1.208322;2.046334;0.145026;0.149498;0.231801;8.462518;12.752893;1.466232
2006-01-15;24.636007;7.926900;0.607134;1.994024;16.470164;0.084221;0.025887;0.100718;0.802853;0.060319;1.049946;4.485264;0.065884;0.000000;0.941932;0.719885;0.011520;0.262351;0.221708;14.414006;13.792252;2.301313
2006-01-16;35.877890;7.296120;0.059085;2.063614;11.489203;0.036130;0.127914;0.191365;0.509093;0.015590;0.790228;4.749120;0.009185;0.000000;0.638135;5.031343;0.081857;0.217070;0.644453;10.387176;21.277304;1.111284
2006-01-17;39.479800;25.354172;0.052977;2.801944;11.576233;0.097219;0.031222;0.181318;0.954537;0.007167;1.739657;3.454969;0.031798;0.000000;0.227565;24.593520;0.180191;0.204422;0.009468;1.227839;8.555469;0.235251
2006-01-18;70.957865;22.090294;0.047832;3.484329;16.582290;0.240886;0.011340;0.055202;2.090026;0.028728;4.931833;6.505647;0.079532;0.000000;0.277828;19.366516;0.151472;0.204926;0.004874;2.168043;15.122162;0.758496
2006-01-19;60.296839;27.241027;0.076857;2.962495;14.296673;0.535891;0.063562;0.094002;5.557936;0.208584;0.786598;4.004140;0.653207;0.000000;5.871496;2.597686;0.069596;0.424406;2.051945;12.046000;27.058835;11.181041
2006-01-20;29.583269;50.678298;0.308649;2.790542;15.283530;0.377846;0.247872;0.133869;8.838216;0.071992;2.465449;4.760534;0.356600;0.000000;11.398176;0.655042;0.022069;1.527846;8.468990;12.716889;25.185248;5.536489
2006-01-21;40.584788;25.819753;0.641279;3.733531;17.042312;0.070909;0.044848;0.092582;10.457383;0.014596;1.617003;9.356628;0.776246;0.000000;4.632633;0.686387;0.054413;5.408664;1.359195;5.012053;8.343340;7.913419
2006-01-22;94.188056;12.854384;0.033846;4.994000;11.281713;0.091377;0.023184;0.049789;2.487236;0.004660;4.521796;2.981994;2.352691;0.000000;3.962279;0.162158;0.095207;3.105684;0.014228;8.678229;0.698922;3.378200
2006-01-23;51.579687;11.654028;0.066256;5.559196;16.329725;0.155433;0.042665;0.173897;0.643920;0.001306;2.443350;4.349777;1.658556;0.000000;1.971743;0.033311;0.040436;2.820250;0.065779;4.138810;0.034366;1.290726
2006-01-24;157.305949;27.291555;0.085251;5.531383;27.119496;0.081587;0.041069;0.758552;1.504038;0.002035;9.729334;3.303109;0.265764;0.000000;4.024849;0.033465;0.030827;2.241482;0.114096;1.879045;0.103885;0.925306
2006-01-25;93.455838;45.583445;10.641199;4.179344;19.322090;0.441566;0.017619;0.670886;9.172969;0.001906;6.806768;1.290948;0.447803;0.000000;7.587579;0.140482;0.019735;1.628554;0.109827;2.485476;0.474613;0.811826
2006-01-26;58.268513;33.696559;7.481539;5.058957;23.677690;0.640788;0.009730;0.547863;41.198156;0.007948;3.833787;3.116987;0.885963;0.000000;3.890870;2.939101;0.016298;0.870257;0.060367;3.058067;0.094293;1.338212
2006-01-27;112.484696;24.624805;0.484825;6.918289;59.222413;0.490281;0.017169;1.028654;7.542943;0.005017;12.631360;1.787403;0.578245;0.000000;2.196434;4.522591;0.211926;0.520510;0.191729;5.627121;4.974087;1.261702
2006-01-28;100.351426;46.067907;2.055912;18.196039;182.645739;0.474895;0.026097;2.626143;14.413401;0.000789;2.373676;2.367473;2.123658;0.000000;1.841958;1.977127;0.164994;0.564955;0.562060;2.650836;5.046686;2.472106
2006-01-29;54.212559;89.691264;5.467598;12.366295;106.720204;0.800827;0.198850;3.957977;33.082421;0.004343;4.857273;7.066839;1.461072;0.000000;1.049316;1.171625;0.162362;0.514464;0.156168;7.305622;3.727404;1.406200
2006-01-30;57.231651;126.708070;8.070110;13.578726;68.248368;1.005345;0.286532;5.305249;32.529411;0.018668;3.388979;27.317816;5.016566;0.000000;0.713972;2.217598;0.200527;0.626841;0.295110;10.187591;1.411279;0.334019
2006-01-31;66.133072;77.066812;23.156243;12.183246;27.276270;1.378922;0.184731;4.678261;16.734718;0.004587;2.593020;72.339731;3.068901;0.000000;1.090080;4.951649;0.390899;0.602797;0.052706;4.533855;4.511451;0.185438
2006-02-01;78.796807;152.664348;5.514375;9.334655;15.284594;0.806521;0.200543;3.925029;21.010014;0.008938;2.511944;220.176124;4.389650;0.000000;1.829931;6.390035;0.495225;0.612238;0.240913;1.599787;1.754087;6.217452
2006-02-02;125.372799;54.525576;0.657837;11.791093;29.331134;0.446524;0.203873;1.823266;11.420161;0.024675;5.791399;33.580599;2.846649;0.000000;2.366221;5.346286;0.412726;1.277942;1.527618;2.269746;1.546588;8.485853
2006-02-03;125.687307;37.228591;0.241896;16.502738;30.178510;0.366958;0.196854;2.507364;6.105183;0.052352;2.449748;13.210593;2.788395;0.000000;2.133263;5.250084;0.283699;1.667060;2.118492;4.400581;0.968936;11.042910
2006-02-04;74.419682;25.062209;0.489819;16.471232;54.752385;0.347414;0.285359;2.595240;11.637737;0.019812;2.016977;21.614411;2.710255;0.000000;2.710977;13.193195;0.435472;2.690245;0.613618;1.846950;0.246323;9.395395
2006-02-05;102.878270;27.841967;0.399449;11.737735;96.271532;0.486359;0.073169;3.231911;13.698205;0.038523;6.019710;21.440058;0.718632;0.000000;2.120398;24.887061;0.642759;1.861466;0.018467;0.677814;0.044079;2.932645
2006-02-06;79.993436;32.626733;0.252766;25.248220;177.097309;0.523802;0.026570;4.408242;8.948591;0.240776;2.517715;18.984395;2.408060;0.000000;0.929218;33.118904;0.905270;4.163381;0.000000;2.358976;0.180180;0.963303
2006-02-07;60.835096;34.533773;0.102988;19.499184;63.838385;0.584994;0.016338;9.847688;4.455085;0.131442;2.861151;10.215223;2.174444;0.000000;1.965578;20.347772;0.727176;4.548136;0.001842;2.527995;0.093405;0.637097
2006-02-08;51.117205;53.432188;0.058872;28.996277;129.402624;1.031264;0.052883;6.793444;3.224325;0.230697;1.414991;4.844047;1.347958;0.000000;8.700296;8.003545;0.663851;3.445511;0.000000;2.068957;0.089709;1.718397
2006-02-09;80.920003;57.689812;0.191675;35.346601;99.525397;0.780489;0.063325;3.870700;25.421203;0.390392;4.492388;6.419009;3.301513;0.000000;12.278356;5.081673;0.917050;3.446231;0.057078;1.336943;0.090716;1.820931
2006-02-10;74.115752;79.356099;0.317808;33.726467;157.542856;0.817790;0.967234;1.874873;5.707004;0.464765;2.230762;16.933195;5.023168;0.000000;4.538359;3.341150;0.757606;2.688391;0.537336;1.356549;0.631104;3.075631
2006-02-11;102.106860;67.646794;0.246236;27.126830;83.196027;0.853235;1.512923;4.737910;6.458982;0.253433;7.179618;28.391838;0.939824;0.000000;6.174053;3.034683;0.318952;4.137277;0.604183;1.004059;3.837895;3.167612
2006-02-12;167.155826;71.337242;0.706462;32.678077;46.400382;0.875950;1.399915;6.126774;13.745305;0.066876;8.632570;25.845615;2.195362;0.000000;6.006209;4.785658;0.639974;3.453455;6.394837;6.917449;48.236105;2.751125
2006-02-13;232.464285;119.079040;1.604274;29.084968;45.840477;1.164807;4.837054;10.667910;49.836317;0.398125;12.755057;33.379347;5.303213;0.000000;15.014183;7.210768;2.490013;5.526060;39.277500;10.206701;77.134915;17.257339
2006-02-14;130.427247;155.094409;4.885742;29.325310;44.696404;2.298195;9.819719;9.135495;97.507755;1.352485;6.311875;105.932786;27.099886;0.000000;36.065870;17.203848;3.503793;18.049363;89.664190;16.550376;132.409430;41.889773
2006-02-15;88.267492;51.882506;0.392448;31.319140;50.552981;0.652239;21.429986;9.449207;13.928369;0.195964;8.272425;15.266196;6.321008;0.000000;58.462672;6.937734;1.130126;36.705489;74.965119;20.967490;144.183764;61.046061
2006-02-16;74.819240;39.675420;0.348846;30.055113;39.309550;0.796403;0.566842;8.049319;34.404445;0.307954;2.461557;4.454587;1.804041;0.000000;8.901343;10.372630;0.685982;6.147178;0.076220;3.236160;16.421339;4.230977
2006-02-17;109.625404;40.539437;0.345354;55.849409;170.975776;0.835339;0.386639;6.470678;45.618444;0.720196;4.438650;5.240853;3.772272;0.000000;6.424938;9.680951;1.242665;6.880018;0.091956;2.589307;0.087978;2.679690
2006-02-18;66.592554;50.251546;0.627662;35.648380;57.088155;0.829671;2.601994;14.652037;37.584577;0.245036;1.612612;8.327574;4.967404;0.000000;3.882408;16.814617;2.694107;4.371052;1.657743;1.140349;2.645917;2.573684
2006-02-19;70.077125;38.588305;0.254707;44.363596;80.500088;0.907927;0.930179;18.883992;40.486732;0.269520;1.908396;7.802226;6.691493;0.000000;5.751516;31.430812;3.463511;7.998785;1.792390;0.582926;1.775997;2.386849
2006-02-20;61.086624;36.000583;0.553179;57.632905;105.800527;1.330626;1.043705;13.860343;48.131523;0.623385;2.544747;13.307661;6.894780;0.000000;6.142224;57.590136;2.123357;3.360581;0.233711;0.403664;0.367241;1.041757
2006-02-21;38.956626;34.105769;1.108784;50.421549;61.773282;2.321320;6.733606;9.804089;55.000834;4.873583;1.334503;18.718061;10.687170;0.000000;10.160059;10.941098;2.786602;6.445375;1.968301;1.033491;0.275411;2.783119
2006-02-22;66.331171;42.906910;0.746963;54.534931;125.968737;1.388773;2.863202;9.580491;28.664713;1.384875;2.685601;11.475492;2.347417;0.000000;8.566711;2.892967;1.720428;6.213217;1.590080;6.062197;0.130492;2.047042
2006-02-23;67.919288;54.495246;0.377733;49.619146;141.823961;0.911700;7.073609;9.051274;20.082788;0.083471;1.059057;5.726046;3.202153;0.000000;6.216286;4.218836;3.502389;4.836381;1.865946;10.475603;0.131497;1.539866
2006-02-24;46.270236;47.942512;0.769489;54.434456;80.243992;1.067976;3.186976;10.271398;19.240342;0.259790;1.533665;10.382313;2.639093;0.000000;4.472796;7.035271;2.220595;2.363844;0.998968;22.214645;0.166087;1.535518
2006-02-25;57.280610;37.912983;1.357336;60.799150;46.464988;1.037488;1.182643;19.310157;26.996432;0.456847;1.599051;17.109469;3.567539;0.000000;3.848617;7.319165;2.109895;3.713336;0.184442;21.392942;0.068033;1.401571
2006-02-26;50.223241;34.103467;0.613094;63.689890;76.467579;1.514264;1.369944;17.166529;13.642149;0.433994;0.532305;18.589601;5.180166;0.000000;4.241453;5.345461;2.657668;4.360136;0.483510;3.299916;0.164251;5.548275
2006-02-27;55.284259;15.019825;0.333734;54.497301;57.338091;1.375411;1.385221;17.053079;17.422220;0.692210;0.714085;14.781519;3.771220;0.000000;10.581681;4.309395;1.832880;9.375250;4.098846;6.583230;8.639008;12.072664
2006-02-28;46.380422;11.220008;0.421993;57.938521;60.592655;1.399968;2.587139;11.320788;46.688432;1.599067;1.233696;10.546786;3.267017;0.000000;20.018790;4.517563;1.933028;5.769313;3.049007;20.141309;41.284309;17.226188
2006-03-01;82.536843;11.368767;1.150115;42.534900;140.363274;1.047477;3.703982;6.052620;12.486360;0.559883;2.145509;2.616771;3.407378;0.000000;16.716974;2.959823;2.458639;4.249698;2.643629;14.040860;8.522397;3.018842
2006-03-02;65.959462;14.052223;1.522652;41.649800;108.794499;1.008463;3.317710;7.705849;9.658262;0.095401;2.382848;1.864326;7.055796;0.000000;10.895983;2.745286;2.667621;5.132929;0.420718;2.438706;0.357056;2.709104
2006-03-03;76.725214;55.344672;14.515962;45.964424;258.914395;2.148522;2.175975;7.745866;51.398956;0.531538;1.577313;7.304608;3.803370;0.000000;8.049274;1.724208;4.883524;6.838632;0.326933;1.898427;9.795123;0.803123
2006-03-04;44.194032;15.252220;1.915457;56.607719;152.200069;0.957381;4.616667;11.631663;38.734954;0.276717;1.005093;2.269490;4.466947;0.000000;25.477173;1.583645;3.456250;8.137278;3.066175;6.134552;23.969806;4.847854
2006-03-05;66.480504;39.568600;8.751727;50.014840;90.378346;1.523593;1.009175;14.446829;103.235303;0.181745;1.066065;4.657484;2.834692;0.000000;26.162438;3.203129;7.830987;3.996926;0.398212;10.816270;68.464979;0.683661
2006-03-06;48.062836;14.680727;4.811206;47.512569;82.896306;0.754307;2.362992;13.518230;16.310088;0.305111;0.249376;1.791077;7.459659;0.000000;64.869846;2.945505;4.628807;7.824454;13.195682;13.162133;22.364061;7.878330
2006-03-07;36.829446;19.991329;19.704455;47.608076;87.554527;2.745864;4.059113;7.982561;208.928351;0.235872;0.378090;4.405783;3.603346;0.000000;27.885920;2.738073;9.078415;5.602486;0.083214;2.424303;3.148057;0.847144
2006-03-08;52.222691;22.271162;10.324732;45.020993;200.112990;2.728298;8.648195;6.648478;83.521205;1.064792;0.315976;6.218200;18.618103;0.000000;38.522549;2.109234;12.998726;6.528814;6.386620;4.878288;8.581045;2.648578
2006-03-09;42.286134;17.188717;2.802652;46.223895;112.692245;1.306559;21.911872;6.155666;13.348744;0.500851;0.518879;1.824109;12.795634;0.000000;43.107161;6.032683;5.127840;8.635929;8.120173;13.600096;21.631923;4.379716
2006-03-10;48.317848;33.608450;42.721636;51.209212;120.969394;4.599295;6.306409;10.055221;205.288694;0.689264;0.226428;8.343126;3.925395;0.000000;28.009153;5.811508;8.685888;3.683246;0.464224;17.400193;3.414186;0.340837
2006-03-11;40.777910;29.384657;12.802529;51.936726;101.628965;2.713635;9.139060;11.797757;85.813158;1.202336;0.073299;6.832606;16.853455;0.000000;67.130752;6.046309;8.110372;5.860500;4.973159;7.000159;1.348625;3.278945
2006-03-12;37.085933;26.309118;2.620257;54.795458;95.430587;1.239957;6.816483;11.996328;76.859573;0.571044;0.106208;0.833220;5.126786;0.000000;92.410423;0.797688;8.542126;7.592873;4.323665;4.873799;0.552783;2.911482
2006-03-13;28.451661;18.793975;3.324135;40.366393;75.976161;1.768978;4.556671;13.440371;43.812540;0.555453;0.323031;0.835185;7.611992;0.000000;88.506354;0.935940;10.392404;8.524366;3.686853;10.274990;15.635244;1.883879
2006-03-14;67.968955;22.517939;4.904199;45.302534;112.023814;1.891827;3.600297;11.622915;31.958540;0.439947;1.282183;2.357745;1.872089;0.000000;10.767601;1.554196;5.153314;4.515442;0.071842;14.921407;2.699775;0.391398
2006-03-15;74.499443;71.287200;19.920485;63.900319;100.684508;5.280755;6.000469;9.705845;104.401675;3.941759;1.667466;48.398803;5.520283;0.000000;16.468454;7.188855;9.974599;7.683607;2.592858;17.526757;11.349576;0.994795
2006-03-16;91.617413;25.805314;2.400797;61.138995;83.030818;2.854575;26.934796;14.289526;37.793538;4.262874;0.945094;6.409732;18.559489;0.000000;77.342742;2.905063;6.407821;10.966805;67.306545;70.760897;156.799938;10.131905
