date;ES;FR;CH;SE;NO;AT;RO;FI;DE;SK;PT;IT;PL;HU;RS;SI;CZ;BG;ME;BA;HR;MK
2086-01-01;53.647878;37.109511;7.125957;4.578874;15.857342;0.108124;0.885509;0.211800;13.620152;0.000000;2.614678;2.276047;4.410507;0.000000;10.868400;0.008582;4.295620;0.771590;7.551332;1.501319;19.428207;5.647092
2086-01-02;23.389472;12.129885;0.440340;3.948661;3.470969;0.011644;0.063265;0.180746;1.308906;0.000000;2.562694;3.202303;0.191433;0.000000;14.539897;0.011999;0.086423;1.614917;9.942730;2.217399;27.733714;5.639659
2086-01-03;21.740616;7.044896;0.208625;0.776461;6.873124;0.005286;4.871206;0.209824;0.052559;0.000000;2.815582;2.141762;0.393809;0.000000;17.582311;0.302138;0.280999;6.745500;6.298975;2.482501;68.065703;5.788150
2086-01-04;10.741840;16.841368;0.161653;1.201522;4.803353;0.000182;6.406133;0.106704;0.000000;0.000000;1.190779;4.254952;0.760957;0.000000;11.906592;0.000395;0.019903;1.084301;5.373455;2.353037;27.518030;1.499369
2086-01-05;22.996500;5.147485;0.743378;0.506425;1.856219;0.095599;0.422618;0.107378;3.976133;0.000000;0.786456;13.566942;0.060515;0.000000;5.014518;0.548413;0.189414;0.647702;2.319071;1.804353;13.790247;1.813642
2086-01-06;12.505357;9.524991;0.148697;1.756389;66.244902;0.217921;2.710419;0.059130;0.025856;0.000000;0.438089;10.797295;4.581570;0.000000;5.273083;1.751673;2.814735;2.366281;0.574928;1.258285;5.670906;1.718496
2086-01-07;48.884493;12.660361;1.351440;4.401905;71.803532;0.107326;2.435849;0.036552;4.348202;0.000000;2.557074;5.695881;8.517409;0.000000;6.544312;0.910541;1.124126;5.157837;0.681811;0.756926;2.345588;6.467561
2086-01-08;17.242689;18.959420;9.957765;3.924431;23.268307;0.173006;3.007300;0.322833;7.495469;0.857779;1.446287;19.356331;7.823914;0.000000;12.058850;0.879589;2.855538;10.287117;0.020999;0.182450;0.577798;6.032212
2086-01-09;53.242466;9.313119;0.381450;4.744663;13.788612;0.201668;3.654949;0.095291;1.909274;0.508756;4.771465;7.093592;3.364114;0.000000;10.202801;4.250567;3.924991;0.874758;3.665035;1.801803;42.629030;4.027047
2086-01-10;22.696687;38.061285;1.096679;7.010213;69.834031;0.014826;1.113164;0.018609;8.987904;0.077135;0.928073;15.916200;0.519847;0.000000;11.363389;1.804990;1.414792;5.137359;0.098008;0.231443;17.470518;1.525531
2086-01-11;11.712106;7.508021;2.793864;3.015566;25.329004;3.390485;0.119454;0.011161;32.657385;0.244687;0.938994;30.540324;2.370156;0.000000;3.402800;15.813715;4.951093;1.245752;6.072815;21.118559;60.812308;0.810855
2086-01-12;25.639673;12.671639;0.553334;2.751924;16.842976;2.371345;0.815603;0.009500;29.878232;0.553025;0.662551;29.036233;5.283007;0.000000;5.757382;14.830258;4.405050;1.283430;0.690737;9.033386;25.502207;2.122866
2086-01-13;67.967425;26.646183;0.172933;5.070443;21.860965;0.395680;2.932843;0.081363;5.618900;0.355435;2.050635;12.529087;1.244901;0.000000;10.145057;5.469863;2.717364;7.720818;3.059203;14.278091;47.717928;9.170831
2086-01-14;92.279706;42.224837;1.458316;5.076954;18.699894;0.244999;8.361884;0.292962;1.174709;0.919470;6.154276;5.237509;1.107027;0.000000;6.014434;3.324822;2.814339;2.423709;0.469422;7.425421;10.383342;6.435832
2086-01-15;20.145404;15.584197;0.599585;3.883982;38.435351;0.147978;2.493502;0.063578;9.609326;2.090477;0.765837;9.451645;4.787850;0.000000;11.945372;9.115403;3.224180;5.544469;7.252042;13.964644;57.772172;15.723666
2086-01-16;73.830072;12.731432;0.485268;2.325613;9.719207;0.273382;0.957871;0.032562;21.707910;1.237940;4.081165;6.688767;2.642059;0.000000;8.375564;11.919283;2.718115;1.283851;0.071754;1.083861;7.655216;4.727029
2086-01-17;49.613507;58.433322;0.365323;3.089585;10.165157;0.445178;1.002107;0.056452;35.743383;0.239265;1.472372;4.636520;0.737635;0.000000;2.369344;47.665985;3.903988;1.321249;0.035280;0.912561;0.188961;1.501174
2086-01-18;47.516680;53.773406;0.088956;2.599784;19.231392;0.989617;0.367615;0.040172;3.562258;0.144214;1.612446;4.563210;0.385657;0.000000;2.330310;27.426964;3.200573;1.269231;0.006034;0.523847;0.047950;0.795247
