date;ES;FR;CH;SE;NO;AT;RO;FI;DE;SK;PT;IT;PL;HU;RS;SI;CZ;BG;ME;BA;HR;MK
2086-01-01;4.600976;0.229797;0.062171;0.058022;0.397535;0.006496;0.129888;0.004534;0.365656;0.000000;0.004458;8.315589;0.036635;0.000000;2.130782;0.001842;0.006311;22.757691;0.914318;2.232919;58.976661;13.381861
2086-01-02;27.021509;7.128543;0.001973;3.010685;50.055762;0.000000;0.127035;0.022612;0.000000;0.000000;0.173911;1.109520;0.007044;0.000000;1.593852;0.000000;0.000000;0.749132;0.048029;0.040062;7.654917;1.887314
2086-01-03;26.914001;7.267088;0.482168;8.675695;44.659364;0.001624;0.000000;0.024942;1.022705;0.000000;0.993964;0.897536;0.466374;0.000000;0.948860;0.000000;0.043897;0.000010;0.000000;0.321037;0.000000;0.047644
2086-01-04;56.968553;31.133463;2.054453;6.632280;56.527959;0.190981;0.012451;0.100415;1.547444;0.000000;3.613783;13.950656;0.758074;0.000000;0.601645;1.755554;0.107294;0.011990;0.014558;0.329646;4.991100;0.014520
2086-01-05;48.036812;31.024648;5.458466;6.724964;12.040352;0.961307;0.007745;3.840513;12.282604;0.000000;4.285082;44.161239;5.228301;0.000000;0.257398;3.982162;0.773063;1.150776;3.295220;5.501578;85.743256;2.540200
2086-01-06;21.874393;10.795812;0.172577;2.654753;10.311295;0.878151;7.417552;3.552313;0.440168;0.000000;1.156203;13.667063;14.644158;0.000000;16.343114;2.950555;2.590027;18.558269;25.950517;13.436150;174.062847;6.890621
2086-01-07;30.658702;30.598722;2.155253;1.184711;4.670481;0.029932;15.476403;5.869642;0.295160;0.000000;1.288891;2.758400;1.454045;0.000000;6.260958;4.204692;0.009945;16.029476;2.641999;3.233899;26.839106;5.283826
2086-01-08;24.856152;58.293288;18.807100;2.290572;5.327502;1.750826;0.193467;0.698331;53.819088;0.002917;0.203430;3.904777;0.004229;0.000000;2.333675;2.414692;0.784080;2.143759;0.005108;5.584264;0.593562;0.114593
2086-01-09;43.016516;32.215194;7.200901;3.191848;3.750262;1.228865;4.821978;0.586633;41.408488;0.367616;0.474617;4.358471;7.650156;0.000000;5.269143;3.796356;1.564909;2.180217;9.674740;7.620673;66.215694;3.241693
2086-01-10;10.531924;18.162931;0.390730;1.182544;2.163339;0.020938;4.206386;0.717903;0.175395;0.005477;0.042367;2.239672;0.052838;0.000000;14.401943;30.924505;0.311877;8.072819;7.259698;1.712625;34.855584;4.622304
2086-01-11;55.766406;22.564007;0.469555;1.657677;34.427446;0.116846;3.580962;0.338098;2.687343;0.006229;2.758391;2.959210;0.021372;0.000000;6.031601;48.249985;0.555158;5.084394;2.543223;9.023323;3.505482;7.713467
2086-01-12;22.422840;70.111841;0.653042;6.767141;51.649421;0.070691;2.171032;0.162617;11.291780;0.249058;1.130475;6.189853;1.374662;0.000000;7.208183;21.201082;0.064687;1.433930;3.443157;5.709188;3.628195;1.709615
2086-01-13;46.824440;24.888915;0.713728;4.658426;65.418677;0.574440;4.243227;0.311632;20.311482;1.482348;1.839522;7.601994;6.085038;0.000000;6.322556;2.235659;0.869750;3.925783;2.607236;6.537623;24.371634;2.972201
2086-01-14;66.428319;63.537931;3.538274;4.734447;103.022878;0.716173;1.357450;0.581824;21.599913;0.957361;2.092660;9.394867;16.933589;0.000000;1.554649;1.092717;1.649049;2.104931;0.488703;3.201789;10.159458;5.746683
2086-01-15;37.602011;33.456336;2.951132;18.389739;149.221637;1.241516;1.073121;0.480148;11.838298;0.497037;1.221200;10.413437;12.848327;0.000000;1.190221;5.099002;1.110882;1.812908;0.424434;25.762741;4.176929;3.426110
2086-01-16;46.891891;44.954415;3.842903;9.816617;90.323675;1.003005;1.087903;3.505554;15.268747;0.639548;1.156356;4.559203;3.395079;0.000000;1.021448;1.108009;0.194054;2.651852;0.116867;47.792673;1.782510;0.316205
2086-01-17;56.562802;25.959183;0.430610;5.149790;31.214781;0.253234;0.172663;1.634540;13.399785;0.262467;2.056783;1.902097;7.657668;0.000000;2.008166;1.436183;0.255041;3.646147;0.265933;14.195733;1.566365;0.050380
2086-01-18;46.845058;53.034470;3.616497;5.662545;103.386087;0.620049;0.193179;0.425073;27.630015;0.045892;1.648962;8.135213;0.957295;0.000000;0.344797;1.468367;1.657273;1.980922;0.001368;1.842272;0.324996;1.055375
2086-01-19;34.633705;38.971900;0.457904;6.775528;37.115692;0.745647;0.348948;0.294413;6.126498;0.089310;0.969352;6.748794;3.283369;0.000000;1.737899;4.790846;1.634405;0.734109;3.511119;27.078210;65.706080;5.355526
2086-01-20;94.127639;26.281921;0.277309;6.070538;47.224798;0.404550;1.693670;0.219589;3.708384;0.658179;3.306516;3.931661;10.085666;0.000000;3.377206;5.697065;1.358151;22.031665;3.685943;8.571634;9.025581;6.459971
2086-01-21;75.737863;60.949576;1.719452;10.051999;36.494794;0.642413;7.949923;0.106407;5.043828;1.944135;3.103800;7.805874;3.248155;0.000000;8.708782;14.985743;0.613518;20.741402;0.016042;4.644251;0.041033;2.857091
2086-01-22;41.099158;46.380846;0.938032;7.588607;34.412089;1.461192;0.525239;0.097092;9.407520;1.801970;0.950419;23.002280;3.794964;0.000000;7.702297;9.174510;0.619399;10.460506;3.662902;12.528017;56.174005;3.047132
2086-01-23;38.213113;91.761255;25.406509;7.803630;41.642232;4.548865;2.357954;0.100973;46.307757;1.225401;1.008916;98.525279;20.182505;0.000000;8.150984;5.854756;3.662321;6.960793;9.701319;9.141719;20.772147;3.611906
2086-01-24;31.836155;83.688548;24.779986;12.223716;45.489627;6.083976;4.632110;0.590880;83.116276;0.830995;0.956051;150.068734;17.612855;0.000000;7.895345;11.544645;3.746612;6.541549;3.506183;7.642127;25.505448;4.225181
2086-01-25;30.012747;44.351889;5.685213;14.145169;52.965895;5.326333;13.947454;0.411627;21.182687;1.406786;0.894175;39.446357;18.574257;0.000000;32.901154;22.328214;3.673099;10.827127;15.547807;16.959716;45.033868;5.797933
2086-01-26;40.557729;48.679664;2.855759;18.415102;97.871498;0.896658;11.762050;1.096807;56.662714;0.441049;0.591069;20.855635;6.645811;0.000000;39.126612;9.393640;0.879271;7.615555;0.635898;1.326102;5.966093;1.533474
2086-01-27;37.003447;24.914791;4.930909;15.669335;78.020626;1.657432;11.381368;0.678042;169.441202;0.995897;0.595851;19.187898;7.203149;0.000000;5.615513;12.984977;0.790009;6.508550;6.353932;11.634365;24.726386;1.350511
2086-01-28;31.662476;24.280904;1.441315;17.294805;37.597336;1.421243;26.855536;1.414758;97.053679;0.948331;0.396575;7.246181;31.954415;0.000000;9.674014;33.733888;1.617750;5.790501;8.106730;17.696547;62.726563;1.373735
2086-01-29;48.690868;19.520300;1.015215;14.825197;46.087146;2.858888;11.891472;2.392870;11.663707;0.728199;0.731401;18.202486;19.974484;0.000000;23.044976;33.977526;1.921383;3.475788;4.502914;14.093972;13.740281;5.615341
2086-01-30;62.081144;29.581376;0.254956;16.323824;52.707519;4.110059;6.627970;4.596375;6.442552;2.394420;2.372460;7.926984;14.701937;0.000000;20.171692;26.875496;1.049720;8.745955;0.294425;6.138551;1.307816;2.719494
2086-01-31;46.176505;33.920525;1.003611;18.353400;43.945953;5.312898;2.492302;4.190075;11.004985;2.893539;1.157795;5.543133;5.679796;0.000000;6.473974;28.184093;0.258095;4.829219;0.038533;2.823696;0.104513;1.264388
2086-02-01;104.444896;81.722161;0.393706;17.839005;91.511635;2.484637;2.956428;5.565632;6.825793;4.434217;1.491670;7.957869;2.820604;0.000000;4.529940;14.968488;0.632843;4.903979;0.407757;15.912512;3.195675;1.881107
2086-02-02;57.090240;66.106420;0.190284;18.125879;93.796786;2.319850;2.572157;5.065989;9.789679;2.220010;1.274805;9.116289;2.936207;0.000000;4.277817;14.139261;0.588213;4.055305;0.213065;23.774066;9.422607;2.601359
2086-02-03;101.122469;68.320563;0.096240;18.159240;68.670503;1.595875;4.235130;2.548146;6.888314;1.334920;2.543900;14.855239;0.752020;0.000000;2.863823;7.065589;0.950808;7.021534;0.755521;16.459766;28.609335;3.438979
