date;ES;FR;CH;SE;NO;AT;RO;FI;DE;SK;PT;IT;PL;HU;RS;SI;CZ;BG;ME;BA;HR;MK
2006-01-01;73.442248;20.005717;0.535648;2.182998;64.256816;0.023776;0.000000;0.149628;0.362489;0.000000;4.396660;1.863688;0.005542;0.000000;0.000000;0.007314;0.009434;0.000000;0.000000;0.001238;0.137796;0.000000
2006-01-02;76.249615;16.943348;4.022306;5.029872;131.140389;0.658604;0.000492;0.048454;7.028499;0.000000;5.069789;32.893312;0.400239;0.000000;0.000121;2.665408;0.045221;0.000000;0.034597;0.635691;11.795579;0.002080
2006-01-03;64.611964;12.139829;0.012255;7.016782;79.664311;0.086313;0.017011;0.209599;0.006516;0.000000;1.970746;5.187220;2.294507;0.000000;0.243127;0.883493;0.017734;0.017262;0.224328;1.512350;11.958376;0.208992
2006-01-04;3.616089;5.461533;0.395225;1.637279;19.278289;0.029755;0.007374;1.557459;0.319149;0.000000;0.435841;12.754478;0.486421;0.000000;0.512075;0.102803;0.001498;0.023749;0.228816;0.880047;9.865410;0.159461
2006-01-05;25.941938;1.327779;0.165186;4.652618;72.268891;0.037165;0.139447;0.095757;1.503838;0.000000;1.381468;6.533334;2.742458;0.000000;3.765661;0.121446;0.014616;1.504827;2.483874;3.202198;29.334149;2.182517
2006-01-06;18.711139;1.479091;0.087180;9.112049;129.268175;0.028172;0.585127;0.144344;2.475758;0.000000;0.317367;1.584893;3.994057;0.000000;1.563346;0.152818;0.024680;1.098940;1.351696;0.829183;8.266552;1.875884
2006-01-07;53.965880;4.076400;0.043167;1.807544;162.045975;0.039154;2.122531;0.379995;0.000000;0.000000;2.248348;2.392047;1.154609;0.000000;1.424255;3.802929;0.112146;0.492864;0.068560;0.971997;0.790509;0.077105
2006-01-08;43.666368;12.557001;0.103978;12.788744;91.279612;0.032100;1.263204;0.157151;0.052812;0.004544;1.546742;0.483686;1.264348;0.000000;1.105347;18.710666;0.026417;0.450569;0.154855;0.859179;0.119856;0.264681
2006-01-09;43.463703;30.929397;0.976076;3.051832;33.918002;0.033052;0.384574;1.389511;0.898314;0.006077;1.640387;1.203047;0.076528;0.000000;0.845990;6.862727;0.002569;0.588203;0.121272;0.227923;0.016326;0.234849
2006-01-10;140.309485;16.632585;1.160348;9.873065;102.149929;0.130351;0.058646;0.154206;4.656177;0.132825;10.701982;4.728665;0.491725;0.000000;0.935546;2.142995;0.027735;0.168112;0.019250;0.051751;0.081193;0.247909
2006-01-11;56.344610;107.934861;15.444425;5.908676;30.146467;0.802664;0.015109;0.664535;29.433882;0.070079;1.496284;51.399491;2.199527;0.000000;0.701116;3.253826;0.067872;0.142791;0.000000;0.053974;0.241927;0.024505
2006-01-12;65.394385;8.831906;11.910832;6.964776;99.796772;0.533945;0.059652;0.146650;31.085167;0.263706;6.241179;55.968801;5.110794;0.000000;1.170650;2.062111;0.219592;0.180353;0.014143;2.076350;3.411180;0.024455
2006-01-13;83.228694;23.828089;0.217579;4.331551;46.131432;0.222510;0.028930;0.717512;0.070465;0.456812;2.727608;11.467219;0.626964;0.000000;0.454537;1.120781;0.070360;0.187880;0.022194;5.003245;20.585341;0.014778
2006-01-14;34.893413;17.991772;0.992824;4.189345;22.671900;0.219218;0.007378;0.571535;3.366687;0.232726;2.729511;21.085616;0.027363;0.000000;0.507473;1.204829;0.029345;0.066246;0.178416;9.042538;26.201311;0.109060
2006-01-15;49.944959;11.870084;1.014043;3.219552;18.270580;0.072935;0.025362;0.173939;1.386773;0.062150;2.165184;10.115465;0.141719;0.000000;0.521532;1.061725;0.010724;0.157073;0.185682;11.147249;17.837558;0.023943
2006-01-16;53.285647;7.745826;0.505862;3.240680;14.638925;0.112786;0.113452;0.230772;1.646237;0.011039;1.212200;10.243275;0.243055;0.000000;0.289950;5.963890;0.033637;0.191987;0.093784;3.432056;2.907498;0.249712
2006-01-17;48.640208;7.619147;0.058196;4.443928;18.004473;0.164305;0.046236;0.228419;3.241975;0.009338;1.096374;4.162879;0.022695;0.000000;0.069946;16.195669;0.142204;0.197896;0.001808;0.961227;0.109827;0.155827
2006-01-18;60.305215;22.324816;1.356160;5.373023;25.474665;0.294423;0.051977;0.110374;5.277522;0.056222;1.641147;2.984513;0.109537;0.000000;0.176019;9.545273;0.119370;0.209180;0.018743;0.418798;0.054394;0.619543
2006-01-19;29.521986;14.918399;2.769529;4.668159;27.913440;0.640440;0.005730;0.114842;12.491839;0.217326;0.210504;7.068285;0.448066;0.000000;0.132052;3.536527;0.055865;0.205752;0.009673;0.352999;2.265020;0.840317
2006-01-20;25.233050;15.763987;0.201511;4.814987;24.077146;0.448036;0.002672;0.143015;8.344846;0.088959;1.462824;7.242058;0.525593;0.000000;3.308529;2.689737;0.054237;0.581361;0.152974;2.796628;16.216007;14.205564
2006-01-21;46.863638;17.324951;0.056932;5.508101;28.588749;0.121429;0.026386;0.174386;6.609266;0.008237;2.315018;3.089718;1.231922;0.000000;3.282950;0.919096;0.013840;3.829625;0.010829;0.486124;2.195457;6.481762
2006-01-22;51.845101;12.954784;0.163393;7.197880;24.296601;0.057591;0.006001;0.064428;0.306140;0.000478;1.426201;6.148265;1.999183;0.000000;1.414873;1.266955;0.019125;1.254162;0.009145;0.826853;1.396007;0.199321
2006-01-23;52.995262;23.244890;0.576170;7.319342;24.825674;0.317812;0.015918;0.242466;1.012844;0.014272;0.488728;18.234239;0.981370;0.000000;1.734134;2.205734;0.021759;1.611209;0.073590;2.839432;10.229970;0.428089
2006-01-24;33.053683;9.519861;2.229606;6.616049;35.504004;0.562946;0.031562;1.007179;6.230465;0.005438;0.474073;27.749897;0.629209;0.000000;4.395970;1.295068;0.015153;0.326338;0.351379;7.164768;21.321191;0.286699
2006-01-25;35.230278;5.642034;0.254971;6.448742;27.320256;0.885096;0.024700;1.422882;4.005648;0.006966;0.716882;14.031377;2.200840;0.000000;6.690972;1.864796;0.046181;0.994655;0.143046;2.954919;4.555278;0.269002
2006-01-26;31.338208;4.871289;0.099171;8.964909;112.311161;0.137220;0.025396;1.550986;0.246018;0.002205;0.848232;2.630589;0.734949;0.000000;2.502492;3.308099;0.011719;0.452344;0.000000;1.432333;1.682124;0.275921
2006-01-27;27.603870;6.079705;0.113657;15.842741;90.755090;0.103862;0.018058;0.385992;0.795610;0.000479;0.711934;1.865207;0.350497;0.000000;0.643939;4.131436;0.029513;0.230816;0.012977;0.634609;0.269549;0.101130
2006-01-28;33.993222;6.428106;0.182363;19.433779;127.918899;0.200328;0.036625;3.562171;4.160051;0.000273;0.426056;1.368257;1.418062;0.000000;0.502561;2.847740;0.024610;0.331194;0.000000;0.393353;0.003794;0.040355
2006-01-29;30.487659;3.419005;0.157781;13.852441;97.804533;0.816928;0.281827;3.979932;9.947828;0.001653;1.669241;1.951280;1.531453;0.000000;0.446220;12.433818;0.488041;0.289717;0.014910;0.340121;0.029788;0.046359
2006-01-30;32.264250;3.807753;0.138757;19.368501;44.581080;0.756343;0.355623;3.805566;21.754565;0.017013;0.460900;1.960215;0.912795;0.000000;0.615548;9.917949;0.275790;0.113437;0.030524;0.968197;0.277496;0.081319
2006-01-31;87.554231;4.324112;0.053000;14.056744;53.376978;0.453326;0.288140;2.733346;7.413533;0.012477;3.504702;1.014281;0.560947;0.000000;0.688681;10.654053;0.153096;0.358345;0.027027;0.444995;0.304034;0.036416
2006-02-01;39.613865;12.984736;0.021912;20.033055;51.450684;0.344474;0.182580;2.546764;0.941709;0.065573;1.106806;1.407862;1.503494;0.000000;0.114241;6.374290;0.082562;0.368010;0.014430;1.871877;0.137616;0.175738
2006-02-02;30.650891;17.209992;0.144532;23.539506;151.601299;0.400747;0.157535;2.854841;3.278588;0.013621;0.710594;1.670750;1.367219;0.000000;0.153235;2.181034;0.066658;0.436578;0.089238;2.577495;0.227951;4.154203
2006-02-03;76.465124;54.541644;0.811869;47.606802;153.197242;0.421613;0.115537;3.861674;12.435715;0.004474;3.330892;13.215831;2.272691;0.000000;0.211669;2.972989;0.440081;0.707290;0.154309;5.552375;7.018447;4.656510
2006-02-04;103.612044;20.725189;0.196557;28.389397;145.882689;1.444931;0.284424;3.500293;8.693294;0.096611;2.138231;18.998058;5.677764;0.000000;0.743666;12.888050;0.854025;1.034517;1.608506;12.859298;64.183686;2.401366
2006-02-05;101.654822;38.176882;0.024516;25.162798;55.735397;0.331508;0.499681;5.351814;0.651368;0.284216;1.923101;4.602971;7.319014;0.000000;6.836715;7.831502;0.392779;4.711290;38.055788;28.727831;150.212704;5.364239
2006-02-06;148.186267;64.480323;0.677146;20.270050;51.167916;0.335213;0.815104;5.192127;8.734198;0.021792;4.454974;0.927075;0.576127;0.000000;2.840946;7.000129;0.234096;9.136919;0.349211;1.056746;19.904333;7.500660
2006-02-07;90.014013;94.144390;3.280441;19.272607;52.613901;0.300898;0.221212;4.064361;37.244581;0.019436;5.302778;3.393983;0.554131;0.000000;2.074502;1.726865;0.588484;4.834851;0.492061;4.177677;12.723614;1.529876
2006-02-08;35.961455;56.618343;1.152916;22.127895;41.290655;0.881389;1.086787;2.068945;19.973803;0.285751;1.878924;9.928465;9.322099;0.000000;9.465012;8.399242;3.085704;5.822542;23.342469;23.596727;132.831232;11.146970
